DATASET,ISO,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,2022,Normalized ,,,,,,,,,
IMF.RES:WEO(6.0.0),COG,OBS_VALUE,"Congo, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6083.689,0.035377688,,,,,,,,,
IMF.RES:WEO(6.0.0),CRI,OBS_VALUE,Costa Rica,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,26163.154,0.173499663,,,,,,,,,
IMF.RES:WEO(6.0.0),CIV,OBS_VALUE,Côte d'Ivoire,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6756.229,0.040003934,,,,,,,,,
IMF.RES:WEO(6.0.0),HRV,OBS_VALUE,"Croatia, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,42682.077,0.287129497,,,,,,,,,
IMF.RES:WEO(6.0.0),CYP,OBS_VALUE,Cyprus,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,57156.837,0.386698008,,,,,,,,,
IMF.RES:WEO(6.0.0),CZE,OBS_VALUE,Czech Republic,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,53448.101,0.361186475,,,,,,,,,
IMF.RES:WEO(6.0.0),DNK,OBS_VALUE,Denmark,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,76301.226,0.518387813,,,,,,,,,
IMF.RES:WEO(6.0.0),DJI,OBS_VALUE,Djibouti,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,7409.799,0.044499691,,,,,,,,,
IMF.RES:WEO(6.0.0),DMA,OBS_VALUE,Dominica,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,15995.551,0.103559084,,,,,,,,,
IMF.RES:WEO(6.0.0),DOM,OBS_VALUE,Dominican Republic,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,26037.215,0.172633358,,,,,,,,,
IMF.RES:WEO(6.0.0),ECU,OBS_VALUE,Ecuador,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,15291.225,0.098714189,,,,,,,,,
IMF.RES:WEO(6.0.0),EGY,OBS_VALUE,"Egypt, Arab Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,19063.823,0.124665014,,,,,,,,,
IMF.RES:WEO(6.0.0),SLV,OBS_VALUE,El Salvador,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,11752.856,0.074374571,,,,,,,,,
IMF.RES:WEO(6.0.0),G505,OBS_VALUE,Emerging and Developing Asia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,15377.073,0.099304718,,,,,,,,,
IMF.RES:WEO(6.0.0),GNQ,OBS_VALUE,"Equatorial Guinea, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,21835.777,0.143732642,,,,,,,,,
IMF.RES:WEO(6.0.0),EST,OBS_VALUE,"Estonia, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,47664.142,0.321399965,,,,,,,,,
IMF.RES:WEO(6.0.0),SWZ,OBS_VALUE,"Eswatini, Kingdom of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,11374.09,0.071769127,,,,,,,,,
IMF.RES:WEO(6.0.0),ETH,OBS_VALUE,"Ethiopia, The Federal Democratic Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3461.03,0.017337026,,,,,,,,,
IMF.RES:WEO(6.0.0),FJI,OBS_VALUE,"Fiji, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,13787.209,0.088368412,,,,,,,,,
IMF.RES:WEO(6.0.0),FIN,OBS_VALUE,Finland,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,61827.81,0.418828546,,,,,,,,,
IMF.RES:WEO(6.0.0),FRA,OBS_VALUE,France,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,59069.747,0.399856472,,,,,,,,,
IMF.RES:WEO(6.0.0),GAB,OBS_VALUE,Gabon,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,22485.837,0.148204254,,,,,,,,,
IMF.RES:WEO(6.0.0),GMB,OBS_VALUE,"Gambia, The","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3150.367,0.015200047,,,,,,,,,
IMF.RES:WEO(6.0.0),GEO,OBS_VALUE,Georgia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,22607.12,0.149038531,,,,,,,,,
IMF.RES:WEO(6.0.0),DEU,OBS_VALUE,Germany,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,67869.332,0.460386773,,,,,,,,,
IMF.RES:WEO(6.0.0),GHA,OBS_VALUE,Ghana,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,7209.032,0.043118661,,,,,,,,,
IMF.RES:WEO(6.0.0),GRC,OBS_VALUE,Greece,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,38435.35,0.257917248,,,,,,,,,
IMF.RES:WEO(6.0.0),GRD,OBS_VALUE,Grenada,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,17937.981,0.116920609,,,,,,,,,
IMF.RES:WEO(6.0.0),GTM,OBS_VALUE,Guatemala,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,13386.991,0.085615406,,,,,,,,,
IMF.RES:WEO(6.0.0),GIN,OBS_VALUE,Guinea,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3890.884,0.020293892,,,,,,,,,
IMF.RES:WEO(6.0.0),GNB,OBS_VALUE,Guinea-Bissau,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,2768.689,0.012574573,,,,,,,,,
IMF.RES:WEO(6.0.0),GUY,OBS_VALUE,Guyana,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,41214.918,0.277037251,,,,,,,,,
IMF.RES:WEO(6.0.0),HTI,OBS_VALUE,Haiti,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3122.885,0.015011005,,,,,,,,,
IMF.RES:WEO(6.0.0),HND,OBS_VALUE,Honduras,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6917.546,0.041113597,,,,,,,,,
IMF.RES:WEO(6.0.0),HKG,OBS_VALUE,"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,67440.762,0.457438739,,,,,,,,,
IMF.RES:WEO(6.0.0),HUN,OBS_VALUE,Hungary,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,43901.068,0.295514653,,,,,,,,,
IMF.RES:WEO(6.0.0),ISL,OBS_VALUE,Iceland,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,73773.333,0.500999024,,,,,,,,,
IMF.RES:WEO(6.0.0),IND,OBS_VALUE,India,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,9260.715,0.057231712,,,,,,,,,
IMF.RES:WEO(6.0.0),IDN,OBS_VALUE,Indonesia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,14446.077,0.092900612,,,,,,,,,
IMF.RES:WEO(6.0.0),IRN,OBS_VALUE,"Iran, Islamic Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,17318.121,0.112656736,,,,,,,,,
IMF.RES:WEO(6.0.0),IRQ,OBS_VALUE,Iraq,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,15053.193,0.097076822,,,,,,,,,
IMF.RES:WEO(6.0.0),IRL,OBS_VALUE,Ireland,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,131936.403,0.901089271,,,,,,,,,
IMF.RES:WEO(6.0.0),ISR,OBS_VALUE,Israel,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,51661.912,0.348899696,,,,,,,,,
IMF.RES:WEO(6.0.0),ITA,OBS_VALUE,Italy,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,56768.247,0.384024988,,,,,,,,,
IMF.RES:WEO(6.0.0),JAM,OBS_VALUE,Jamaica,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,11166.521,0.070341308,,,,,,,,,
IMF.RES:WEO(6.0.0),JPN,OBS_VALUE,Japan,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,48453.539,0.326830043,,,,,,,,,
